"","x"
"824",2.1902523746564e-05
"825",4.3139938442558e-05
"826",3.8971013114907e-05
"827",4.4207952219847e-05
"828",3.4468589125718e-05
"829",4.7059913099921e-05
"830",3.9934952210557e-05
"831",3.0776240417313e-05
"832",4.1741036017439e-05
"833",3.5448783601958e-05
"834",2.5386036776191e-05
"835",1.4339676761475e-05
"836",2.5919952324366e-05
"837",3.2617409150404e-05
"838",3.9129741955683e-05
"839",2.579156658489e-05
"840",0.000115264715196868
"841",2.4761653424603e-05
"842",5.7535255710685e-05
"843",3.7354918813412e-05
"844",0.000100564859840842
"845",3.7823013806644e-05
"846",8.8851286531793e-05
"847",7.3373781017767e-05
"848",6.24833831235e-05
"849",5.0466982172018e-05
"850",3.7919021095924e-05
"851",3.4023353819677e-05
"852",1.7582253829153e-05
"853",2.5302852328183e-05
"854",9.261818930623e-06
"855",3.295547226613e-06
"856",1.2198183498296e-05
"857",1.2337972462164e-05
"858",2.535395075297e-05
"859",1.3290172630553e-05
"860",2.634690806296e-05
"861",1.7903458849204e-05
"862",3.1972768594478e-05
"863",1.9190188687694e-05
"864",5.7857822523304e-05
"865",1.1327294301825e-05
"866",1.040610058625e-05
"867",2.3695301512207e-05
"868",3.4981516022172e-05
"869",1.5042869784902e-05
"870",2.331418151517e-05
"871",2.4519873553625e-05
"872",2.6635997487602e-05
"873",4.2762676167603e-05
"874",3.9144907933793e-05
"875",3.1840418178237e-05
"876",4.3790377767206e-05
"877",1.9899748696349e-05
"878",4.7166577938404e-05
"879",2.2544353373663e-05
"880",9.728679350356e-06
"881",3.2740897956494e-05
"882",2.6123521933335e-05
"883",2.5503666997261e-05
"884",1.3143885543585e-05
"885",9.710645478892e-06
"886",3.4597897860747e-05
"887",3.4005428390018e-05
"888",4.3556589134184e-05
"889",3.6905997189214e-05
"890",1.4126408081171e-05
"891",2.036050841294e-05
"892",4.8742240943163e-05
"893",8.2031249126147e-05
"894",4.3992816786343e-05
"895",3.6138482131039e-05
"896",4.0237232509177e-05
"897",4.4260702038337e-05
"898",4.0667221310194e-05
"899",2.7589640338649e-05
"900",1.6805637345079e-05
"901",3.5293188892807e-05
"902",2.2471374925376e-05
"903",1.2530590055766e-05
"904",7.41011655115e-06
"905",9.763178201002e-06
"906",8.569581313859e-06
"907",1.5034231088452e-05
"908",2.4304542241812e-05
"909",4.38293503263e-06
"910",4.053533445091e-06
"911",8.475822673524e-06
"912",9.577846312136e-06
"913",1.2719809987246e-05
